State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New York,1016037.50,1075154.60,1119381.50,1116591.00,1160081.30,1223529.70,1247605.80,1328233.50,1365529.00,1430923.30,1487627.60,1551354.10,1604649.90,1697661.40,1787666.00,1740804.70,1901296.50,2053179.70
North Carolina,355469.70,387525.00,401490.90,418793.40,411155.80,420027.60,431722.70,445095.30,462268.90,483191.30,508928.70,526029.80,548522.10,567836.20,594521.00,598915.90,662120.80,730072.40
North Dakota,24700.00,26500.70,29075.40,31874.40,32226.00,35676.20,41587.70,51832.60,54271.00,59926.30,55996.90,51989.20,55394.70,59248.70,59199.20,54422.90,63559.60,73267.10
Ohio,468891.60,482738.10,497761.50,496919.40,482281.10,500515.30,528189.90,545740.10,566532.40,595640.90,611019.50,623265.30,645636.80,667115.60,697166.80,684382.50,756617.20,822669.70
Oklahoma,125081.60,137436.50,145752.10,160763.70,146633.00,154287.40,166235.80,174874.40,182694.70,196631.60,186815.60,181244.40,190553.00,202712.50,204192.50,190063.60,215336.30,240534.30
Oregon,143507.80,153593.10,159585.20,164925.40,159607.30,164137.20,170630.90,174611.00,179527.70,188120.70,200659.60,211305.90,222601.60,237113.70,247233.10,247966.70,272190.90,299125.50
Pennsylvania,511731.40,531274.10,565831.80,588024.60,582144.80,604736.80,624819.70,647925.90,668569.10,694142.60,714202.90,726561.90,746441.00,773977.40,799888.80,771613.20,844496.50,923088.80
Rhode Island,44374.10,47204.40,47340.80,47277.50,47702.20,49468.30,50206.10,51583.00,53034.10,54559.70,56390.80,57353.50,58085.00,59290.80,61642.80,60770.60,66570.90,71402.20
South Carolina,145403.60,153647.70,162746.30,163886.20,161813.50,165860.00,172075.10,177618.10,185009.10,194352.70,205816.70,215120.20,223266.70,233251.40,245987.20,245359.50,269802.50,295880.50
South Dakota,30997.40,32364.50,35073.00,36603.00,36432.90,37852.50,41892.10,43901.50,45361.00,46785.40,48070.20,49151.40,50232.50,52299.30,54001.30,55681.20,61684.70,67570.70
Tennessee,231633.50,243583.90,248692.40,254242.00,252332.80,257776.00,269814.20,286341.50,295862.70,306153.10,325294.00,336413.90,350838.70,363055.50,380128.50,379007.10,427125.50,475755.10
Texas,995252.40,1103197.60,1191093.10,1244294.90,1169607.70,1245959.40,1341334.40,1421180.10,1515195.60,1579299.50,1573498.40,1579014.90,1673234.30,1809396.70,1858757.80,1789933.40,2051768.60,2355959.70
Utah,95355.10,106537.30,114813.40,117178.90,113985.40,118669.80,125565.00,129512.50,135450.40,142150.10,149153.40,157827.30,168649.90,184457.50,196538.90,202133.40,225340.30,248176.30
Vermont,23608.60,24331.50,24797.70,25999.30,26099.20,27406.60,28418.70,29241.30,29289.60,30099.40,30933.30,31661.20,32266.10,33066.80,34230.80,34018.60,37103.80,40617.10
Virginia,358069.70,376235.70,391699.80,404634.90,410967.40,426992.40,435180.30,445973.60,457640.50,465181.80,483786.50,496021.10,511114.90,532906.50,557764.40,556992.60,604957.60,649392.60
Washington,293676.00,314265.20,342024.20,354794.10,351245.00,365497.80,379574.90,400530.60,419092.40,440648.00,466689.70,487275.10,519409.60,564313.90,595231.80,612969.10,677489.50,725513.50
West Virginia,53492.50,57010.00,59273.50,62694.80,63600.70,65998.70,69234.10,70322.20,71481.50,72648.20,71318.50,70924.40,74820.10,79192.90,79325.60,76547.90,85434.20,95588.40
Wisconsin,227297.00,237569.30,245839.50,246814.50,247210.00,256432.90,266364.40,277107.10,284270.90,295696.00,307507.90,314073.30,318310.40,332498.60,345236.40,340591.10,368611.30,401791.50
Wyoming,27576.30,32740.30,36950.80,42819.30,36252.00,37680.70,39751.40,38855.40,39289.80,40310.60,38426.90,35879.00,36980.70,39171.70,39428.00,36330.40,41510.20,47432.50
