State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Pennsylvania,5.15,5.15,6.25,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,6.75,6.75,7.4,7.40,7.40,7.40,7.40,7.40,7.75,8.00,9.00,9.00,9.60,10.10,10.50,11.50,11.50,12.25,13.00
South Carolina,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
South Dakota,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.50,8.50,8.65,8.65,9.10,9.30,9.45,9.95,10.80
Tennessee,5.15,5.15,5.85,5.58,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Texas,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,7,7.25,7.53,7.68,8.06,8.06,8.15,8.46,8.60,8.73,9.15,9.60,10.00,10.50,10.78,10.96,11.75,12.55,13.18
Virginia,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,9.50,11.00,12.00
Washington,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11.00,11.50,12.00,13.50,13.69,14.49,15.74
West Virginia,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8.00,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Wisconsin,5.15,5.7,6.5,6.50,6.50,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
